HotelName,MHID,WVitemID,NE_Code,CAitemID,TripadvisorLocationID
1800 Apartments,htkcusn,4463,PVKARTO      ,16084,0
51 Buckingham Gate,nexgah5,139373,HLONBUGA,61344,0
987 Barcelona,qpzq1bp,138269,HBCN987B,58835,646310
Aana Resort and Spa,7exzhjg,108176,HTDXAANA,4728,582064
Abella,pyypism,4473,CHQABEL      ,61372,3291424
Abrial,ttbL91i,138821,HNCEKYRI,59278,196988
AC Gran Canaria,wf7ec89,139866,LPAACGR,61611,249109
AC Hotel Alicante By Marriott,fxfbbs5,183824,HALCACAL,75198,0
AC Hotel Ambassadeur Antibes-Juan les Pins,d1c5myo,138649,HNCEAMBA,75298,229690
AC Hotel Atocha,txwm9e1,139903,HMADACAT,61641,1768628
AC Hotel Avenida De America,L8qcy9L,139901,HMADACAV,61642,228542
AC Hotel Carlton Madrid,1mz0L6c,139845,HMADCARL,61140,228510
AC Iberia Las Palmas,wn0aac7,139891,LPAACIB,61612,238897
AC Malaga Palacio By Marriott,yr2v1t0,183762,HAGPACMP,74887,0
Acajou Beach Resort,ubpLa8c,194920,HSEZACAJ,97167,0
Accademia,e74szm0,11111,HROMACCA,9315,203153
Achilleas,y3gpuvv,4488,PVKACCH      ,16085,581935
Achilles Plaza,gj9cm5y,14537,CHQACPL,71557,658786
Adagio,1ovzw1z,4500,HBCNADAG,9379,229872
Adler Cavalieri,ka9vyd8,141318,HFLRASCA,64956,281838
Admiral,140c2nn,4503,PUYADMI      ,76071,317786
Adonis/Poseidon,525L0y7,4506,MJTADON      ,16077,264713
Adriana Hvar Spa Hotel,p0asmia,139644,SPUADRI,81888,644528
Adriano,4606jzo,118706,HROMADRI,9316,0
Adriatica,,186895,PVKADRI,81919,0
Aegean Melathron Thalasso,auhmmcx,192906,HSKGAMEL,89603,0
Aegean Suites,qiagk00,182331,JSIAEGE,73290,0
Aeolian Gaea,d67hjg5,181832,MJTAEOK,72273,0
Aethria,9bzp7zp,101906,KVAAETR,78713,0
African Village,i80c0aj,4530,BJLAFRI      ,4606,501918
Agali,4nopygo,108428,KVAAGAL,78651,317001
Aguamar,yxmo08u,4540,TFSAGUA      ,87072,0
Aimia,g2x7vor,119140,PMIAIMI,9497,503051
Akali Hotel,ehox3Lv,183897,HCHQAKAL,75408,0
Akasti,,99465,CHQAKAS,79277,0
Aktea,d02tLtt,4552,LCAAKTE      ,9032,576031
Akti Beach Club,2hrhbcc,182473,KGSAKBE,74031,0
Akti Palace,kumirhq,182496,KGSAKPA,74032,0
Akti Pefkari,,184786,KVAAKTI,78674,0
Alba,5bmhh44,4564,BOJALBA      ,82614,638262
Albany House Guesthouse,uiecmi2,100545,HDUBALBA,17936,189083
Albatros Apartments,nx7gL9e,4572,AYTALBA      ,14299,502381
Albatros Hotel,,191983,CHQALBA,89198,0
Albergo all'Angelo,k6doydz,139274,HVCEANGE,60883,285089
Albert,k6gfnwu,123746,HRIXALBE,42335,566480
Albir Garden Resort,xfgudpx,183931,HALCALBI,75192,0
Albir Playa Hotel & Spa,qk9e8yk,183906,HALCALPL,75195,0
Alcudia Beach,niohfoa,143138,PMIALBE,71199,0
Alcudia Garden,02ac3dv,4597,PMIALCU      ,9416,535072
Alea,u9z3fc9,119859,PVKALLE,9144,2032115
Alexandra,ebdkjr8,123703,MLAALEX,35722,556889
